code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
22	9	16	20	17	17	18	19	8	19	20	0	92.60%	88	83	87.85	3.3
557	9	15	17	17	17	17	19	9	14	20	0	87.50%	73	67	76.4	2.3
559	9	14	19	16	11	12	15	8	15	20	0	79.00%	94	98	89.59	3.4
564	8	0	0	0	11	11	11	6	11	3	0	34.70%	67	53	48.46	0
593	10	16	15	18	20	20	18	9	19	20	2.67	95.30%	87	80	87.51	3.2
684	10	15	20	17	19	18	17	8	15	20	0	90.30%	80	69	79.74	2.6
715	9	14	19	18	17	13	19	7	16	20	0	86.40%	99	92	91.15	3.5
719	7	15	15	19	18	18	18	8	14	20	2.67	87.90%	91	87	88.15	3.3
789	10	15	20	19	18	13	0	0	0	20	0	65.30%	88	0	43.74	0
820	10	16	20	18	18	18	18	10	15	20	0	92.60%	74	68	79.05	2.5
887	10	14	17	17	17	17	19	7	16	20	0	87.50%	74	71	78.2	2.4
917	9	16	20	19	19	20	17	9	20	20	1	96.60%	92	91	93.44	3.7
1009	10	15	18	18	20	20	19	9	21	20	0	96.60%	91	82	89.64	3.4
1019	10	16	20	18	19	19	18	8	19	20	0.33	95.10%	95	86	91.43	3.6
1143	8	16	15	18	15	0	0	0	0	18	0	51.10%	79	48	55.45	0
1202	10	16	20	16	17	13	11	7	15	20	3	84.10%	83	66	76.64	2.3
1431	9	16	19	18	17	17	19	7	15	20	0	89.20%	84	84	86.08	3.1
1462	10	15	20	18	18	19	0	8	15	20	0	81.30%	79	0	48.3	0
1490	8	15	19	17	16	15	18	9	18	20	1.33	88.80%	89	77	84.13	2.9
1494	9	16	20	20	19	20	19	9	19	20	3	98.90%	71	88	88.95	3.4
1615	8	12	19	17	16	0	0	0	0	6	0	44.30%	53	0	28.33	0
1632	8	13	17	16	10	5	14	5	16	20	0	70.50%	68	41	58.18	0.7
1644	9	14	18	19	13	5	14	9	11	20	0	75.00%	84	71	75.2	2.2
1645	8	15	13	15	16	16	17	7	16	20	0	81.30%	92	79	82.5	2.8
1651	9	16	20	17	18	20	19	10	15	20	2.33	94.50%	96	89	92.6	3.7
1677	9	15	20	17	17	19	19	10	20	20	3	96.00%	96	93	94.81	3.8
1681	10	16	17	14	17	17	18	9	16	20	0	87.50%	90	100	93	3.7
1712	8	16	20	20	20	20	19	10	20	20	3	100.00%	98	92	96.4	3.9
1779	8	14	20	16	18	19	17	7	16	20	0.33	88.30%	83	87	86.7	3.2
1841	10	14	13	17	15	17	18	9	16	20	0	84.70%	82	51	70.66	1.8
1841	8	14	19	16	18	16	17	9	15	20	0	86.40%	82	67	77.75	2.4
1911	6	13	18	19	14	18	18	8	20	18	0	86.40%	88	83	85.35	3
1973	8	15	20	17	15	17	17	9	14	20	0	86.40%	76	73	78.95	2.5
2000	9	12	14	14	8	8	0	4	11	20	0.33	57.00%	56	45	52	0
2061	10	16	20	20	16	17	20	9	16	20	0	93.20%	95	96	94.67	3.8
2191	10	15	19	16	17	0	0	0	0	20	0	55.10%	87	53	60.65	0.9
2283	8	15	19	15	19	14	0	5	17	20	0	75.00%	57	45	59.4	0.8
2480	8	14	18	17	13	16	13	10	12	20	0	80.10%	86	58	72.45	1.9
2511	10	15	20	16	17	18	19	8	12	20	1.33	88.80%	88	78	84.33	3
2515	10	16	20	20	16	19	18	9	15	20	0.33	92.80%	79	59	76.52	2.3
2549	10	16	19	17	15	15	18	8	18	20	0	88.60%	87	90	88.85	3.4
2556	8	15	17	12	10	9	11	6	15	18	0	68.80%	70	54	63.1	1.1
2573	9	16	20	18	18	18	18	9	17	20	0.33	92.80%	90	83	88.32	3.3
2642	7	16	15	0	15	13	15	7	0	20	0	61.40%	75	66	65.95	1.4
2670	9	16	20	18	17	17	18	8	14	20	0.33	89.40%	89	73	82.76	2.8
2673	9	15	18	17	16	15	17	10	18	20	0	88.10%	95	85	88.23	3.3
