code	assign1	assign2	assign3	assign4	bonus4	assign5	assign6	assign7	assign8	bonus8	Late_Days	explore	weekly %	midterm	final	total	grade
375	20	20	19	20	1	20	18	20	30	0	4	6	100.00%	93	94	96.2	3.9
1688	16	17	17	14	0	18	18	18	29	0	4	0	86.50%	82	78	82.19	3
1785	16	14	17	11	0	16	17	14	24	0	4	1	76.10%	82	58	70.03	2.1
1843	20	20	20	20	2	20	20	19	28	2	0	0	100.60%	100	99	99.84	4
2560	15	19	19	18	1	19	18	20	30	2	2	6	95.90%	93	99	96.55	4
3091	19	19	17	0	0	18	18	17	26	0	1	6	80.00%	83	83	81.8	2.9
3469	18	16	19	18	0	18	19	20	28	0	0	0	91.80%	89	75	84.51	3.1
3508	17	13	0	4	0	14	0	0	0	0	4	0	28.20%	57	0	22.69	0
3540	18	15	19	17	0	18	13	16	23	0	5	0	81.80%	85	84	83.31	3
3863	15	17	17	14	0	16	16	11	21	0	5	0	74.70%	86	77	77.88	2.7
3893	14	16	13	15	0	19	16	18	29	0	3	4	83.10%	76	83	81.65	2.9
3894	18	18	15	18	1	20	18	17	28	2	1	0	91.20%	100	94	94.07	3.8
3980	15	16	17	17	1	19	17	14	29	0	2	1	85.50%	67	70	75.6	2.5
3988	17	19	17	19	1	14	16	19	27	0	4	0	87.60%	83	73	80.86	2.9
4117	18	17	13	12	0	1	5	10	8	0	5	0	49.40%	54	43	47.76	0
4314	17	18	18	17	1	16	16	19	19	2	0	0	84.10%	99	93	90.65	3.6
4952	16	15	18	18	0	17	17	16	27	0	3	0	84.70%	71	76	78.48	2.7
4956	14	16	18	9	0	14	13	3	28	0	5	0	67.60%	56	51	58.66	1.3
5749	19	19	16	17	0	17	19	19	27	0	0	0	90.00%	67	77	80.2	2.8
6972	20	16	16	20	0	18	18	18	29	0	5	0	91.20%	85	81	85.87	3.2
6996	19	20	20	19	0	20	20	19	28	0	1	0	97.10%	91	94	94.62	3.9
6998	19	0	19	18	0	14	19	17	26	0	5	1	77.80%	78	84	80.34	2.8
7087	18	17	17	16	0	15	17	17	27	0	4	0	84.70%	80	94	87.48	3.3
7352	16	16	15	16	0	18	20	19	29	0	3	0	87.60%	90	71	81.46	2.9
7836	18	0	0	16	0	0	0	0	0	0	1	0	20.00%	52	37	33.2	0
7929	17	17	18	16	0	15	18	16	26	0	1	0	84.10%	88	98	90.45	3.6
8025	18	17	19	19	0	19	15	15	29	2	4	0	90.00%	71	91	86.6	3.3
8187	15	18	16	16	1	16	18	20	28	0	0	9	88.80%	95	93	91.73	3.6
8234	17	20	19	19	0	18	17	15	29	0	5	0	90.60%	65	46	67.64	1.9
8312	18	16	16	15	0	17	15	17	25	0	5	7	83.10%	83	87	84.65	3.1
8514	14	14	8	13	0	15	13	16	13	0	0	0	62.40%	55	55	57.94	1.2
8630	20	16	17	17	2	19	19	18	29	2	1	0	93.50%	95	97	95.21	3.9
8828	18	18	15	19	1	20	15	19	26	0	3	8	90.40%	80	76	82.56	3
8978	19	18	16	14	0	14	15	15	26	0	5	0	80.60%	85	92	86.04	3.2
9046	19	14	16	16	1	19	16	18	30	0	2	9	89.40%	85	83	85.96	3.2
9178	19	18	18	16	0	18	0	18	30	0	0	0	80.60%	87	91	86.04	3.2
9241	17	17	16	16	0	20	14	14	23	0	5	0	80.60%	53	52	63.64	1.6
9550	16	17	18	20	0	19	19	20	29	0	0	0	92.90%	76	62	77.18	2.6
9587	18	18	20	19	2	19	19	18	26	2	4	2	95.10%	79	96	92.24	3.7
9738	16	17	14	15	0	19	15	17	9	0	2	0	71.80%	77	77	74.91	2.4
9910	19	19	19	19	0	19	18	20	29	0	0	7	96.70%	93	99	96.87	4
9915	17	18	14	18	1	19	16	15	27	0	5	0	85.30%	77	55	71.52	2.2
10217	16	16	17	17	0	18	20	20	26	0	2	0	88.20%	79	83	84.29	3.1
10232	11	5	0	2	0	14	2	9	9	0	5	0	30.60%	80	81	60.64	1.4
10411	18	19	20	19	0	20	20	20	29	0	3	0	97.10%	76	99	93.62	3.8
10445	15	16	16	18	0	17	15	19	27	0	0	0	84.10%	81	84	83.45	3.1
10530	18	14	17	17	0	17	19	16	28	0	4	9	87.60%	70	83	82.26	3
11087	18	15	16	18	0	17	13	19	28	0	4	0	84.70%	76	80	81.08	2.9
11212	15	15	14	7	0	10	10	18	17	0	5	0	62.40%	99	83	77.94	2.7
11278	19	16	19	19	0	20	20	19	30	0	1	0	95.30%	63	63	75.92	2.5
11497	11	16	16	14	0	17	15	11	24	0	5	0	72.90%	71	55	65.38	1.8
11980	16	16	19	19	0	15	19	17	28	0	5	1	87.80%	74	87	84.74	3.1
12071	19	16	20	19	0	19	19	20	29	0	0	0	94.70%	86	94	92.68	3.7
12556	19	19	18	20	0	20	16	19	30	0	3	4	95.50%	88	96	94.2	3.8
12753	17	15	16	12	0	10	10	16	23	0	0	0	70.00%	72	64	68	1.9
13110	14	16	18	18	1	18	14	18	27	0	1	0	84.70%	79	91	86.08	3.2
14256	14	17	18	16	0	14	14	13	17	0	5	0	72.40%	81	66	71.54	2.2
15365	19	18	19	18	0	20	19	16	28	0	1	0	92.40%	73	67	78.34	2.7
15384	0	17	15	16	0	0	15	11	24	0	3	0	57.60%	57	54	56.06	1.1
15409	5	19	16	17	0	18	19	18	28	0	5	5	83.30%	80	82	82.13	3
16006	15	12	14	18	0	18	16	17	29	0	4	0	81.80%	86	71	78.31	2.7
16306	17	17	19	19	0	19	17	17	26	0	3	1	89.00%	68	93	86.41	3.3
16754	16	17	16	18	1	17	17	18	27	0	2	0	86.50%	98	91	90.59	3.6
17047	16	17	20	18	0	19	18	19	28	0	1	6	92.40%	86	89	89.74	3.5
17233	19	18	19	19	0	20	16	15	29	0	0	0	91.20%	66	63	74.87	2.4
17399	17	16	17	18	0	19	20	16	26	0	0	0	87.60%	98	88	89.86	3.5
17839	20	19	20	19	0	20	18	17	26	0	3	0	93.50%	91	68	82.81	3
18071	16	18	19	17	2	16	17	20	28	0	2	0	90.00%	90	94	91.6	3.6
18951	17	15	16	15	0	13	18	12	25	0	5	0	77.10%	83	72	76.22	2.5
19001	16	17	14	9	0	11	9	0	12	0	5	2	52.20%	42	34	42.86	0
19056	16	17	19	19	0	0	17	19	30	0	4	0	80.60%	59	60	68.04	1.9
19853	16	18	0	0	0	19	15	16	16	0	5	0	58.80%	76	61	63.13	1.6
19918	19	18	18	19	0	19	19	18	24	0	3	1	90.80%	99	94	93.71	3.8
20597	19	16	18	17	2	17	19	18	25	0	2	5	89.80%	68	64	75.12	2.5
20751	19	20	17	19	0	19	13	19	27	0	5	0	90.00%	80	83	85.2	3.2
20778	18	18	17	19	0	20	18	19	26	0	2	0	91.20%	94	91	91.67	3.6
